user,id,text,retweet_count
sethsonika___,1058376323825946624,RT @AliQuliMirzaAQM: Friday is now FRIYAY! Love seeing @Aamir_Khan play my favourite game. #AamirOnKBC @SrBachchan @SonyTV https://t.co/giB…,38
Jessicasquared9,1058376260286627840,"RT @HighheelsDes: It’s Friday..
Time to make stories 
for Monday..#friyay https://t.co/qsIgDrSwDW",16
AuthorMichael57,1058376371980910597,"RT @MistralKDawn: Will Petri be able to #protect her #friends from the #danger that's stalking her?

https://t.co/59KvgugVDb

#cyberpunk
#s…",5
nkay_yo,1058376386061180928,"RT @BerlitzLanguage: See y'all on Monday Learners 
#friyay #fridayfeeling #Oneticket #Berlitz #AbujaTwitterRave #Abujatwittercommunity http…",2
AbjWeekendVibe,1058376243110907904,"RT @BerlitzLanguage: See y'all on Monday Learners 
#friyay #fridayfeeling #Oneticket #Berlitz #AbujaTwitterRave #Abujatwittercommunity http…",2
RonicaDladloti,1058376213302075393,RT @ForRadioLovers: @tshiamo_nkocee @DbnNytsSA Ke #Friyay and #DrunkTextingMe should be the theme song in the background,2
smileyscorpius,1058376241609367552,RT @MissIssyClifton: Listening to @HamiltonWestEnd whilst getting ready for filming in the makeup bus 😊😊 #friyay #hettyfeather @cbbc,1
RentItNetwork,1058376438515142657,"Finishing the week strong with a 5-star review ⭐⭐⭐⭐⭐
At @RentItNetwork we go above and beyond to deliver the best p… https://t.co/5d7slCnKmP",0
Giaaa__n,1058376416402624513,FRIYAY 🍿,0
LucysCantinaNYC,1058376376775008257,because 2 drinks are better than one and its #friyay and we’re so ready for the weekend 🤗 #lucyscantinaroyale https://t.co/DSjfMs70D4,0
Highway_Church,1058376225146761216,"FRIYAY! Throwback... 
#churchlife 💛
#communityofbelievers
#fun
#growth
#life
#makingJESUSfamous in every season; at all times!",0
TheSwansonSquad,1058376211011899393,Beginning this FriYAY with some Freestyle Thinking! Look at what Caleb and Krisha turned the shapes into! WOWZA!… https://t.co/U3Eehr4Gkk,0
MarcusVegetable,1058376210059796480,#friyay but #shithappens https://t.co/cg5G8hjgMx,0
